Provinsi,2019(X1),2020(X2),2021(X3),2019(X4),2020(X5),2021(X6)
ACEH,19,19,28,0.01,9.07,9.11
SUMATERA UTARA,4847,4953,5034,3489.84,3566.16,3624.48
SUMATERA BARAT,682,751,793,1014.39,1024.55,1081.85
RIAU,100,84,84,56.7,45.37,45.37
JAMBI,27,18,18,8.02,6.26,6.26
SUMATERA SELATAN,56,57,59,55.93,31.13,32.37
BENGKULU,283,283,274,409.61,272.53,263.86
LAMPUNG,1000,1021,1037,1471.06,2134.84,2168.29
KEP. BANGKA BELITUNG,252,157,160,144,418.58,426.78
KEP. RIAU,6,6,5,8.83,12.55,10.45
DKI JAKARTA,2024,2053,2074,5100.48,4292.68,4336.59
JAWA BARAT,122505,118434,119915,300337.16,281198.94,283361.18
JAWA TENGAH,140520,141395,142124,102948.9,102707.88,102508.64
DI YOGYAKARTA,3873,3520,3468,5925.69,5385.6,5306.04
JAWA TIMUR,287196,293556,301780,521123.43,542860.27,556431.78
BANTEN,68,67,67,53.74,121.22,121.22
BALI,0,0,0,0,0,0
NUSA TENGGARA BARAT,6,6,12,0,0,0
NUSA TENGGARA TIMUR,29,30,31,18.32,46.87,48.43
KALIMANTAN BARAT,43,167,168,66.6,115.78,116.47
KALIMANTAN TENGAH,0,0,0,0,0,0
KALIMANTAN SELATAN,183,101,94,202.27,111.64,159.19
KALIMANTAN TIMUR,91,87,84,139.23,122.21,117.99
KALIMANTAN UTARA,2,3,4,0,6.27,8.36
SULAWESI UTARA,66,53,55,20.25,13.67,14.19
SULAWESI TENGAH,10,7,7,0,0,0
SULAWESI SELATAN,1049,1101,1130,1888.2,2302.11,2362.75
SULAWESI TENGGARA,37,51,55,54.43,106.63,114.99
GORONTALO,5,0,0,0,0,0
SULAWESI BARAT,0,0,0,0,0,0
MALUKU,0,0,0,0,0,0
MALUKU UTARA,0,0,0,0,0,0
PAPUA BARAT,0,0,0,0,0,0
PAPUA,22,20,19,0,0,0
